Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.254000016680143,-0.429384963721556,-0.393680147234163,0,0,0,207.768846555119,19.5962917065594,-8.19943544895025E-07,-3.27401357177382E-07,9.3529571029121,2.3242716663183,19.1468681302977,0,0,0,0,0,0,package://truck_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/base_link.STL,,truck-1/chassis-1,Coordinate System18,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_fl,2.22044604925031E-16,-8.88178419700125E-16,1.11022302462516E-16,0,0,0,1.58151147973949,0.00862993334587536,-1.17763156136899E-08,7.46790197367258E-10,0.0049686892413061,1.63256257818024E-18,0.0049686892413061,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_fl.STL,,truck-1/fullTire-8,Coordinate System2,Axis4,wheel_fl_steer,revolute,-0.0381000000000009,-0.228599999999998,-0.101600000000003,3.14159265358979,0,0,base_link,0,0,-1,0,0,-0.65,0.65,,,,,,,,
wheel_fr,2.22044604925031E-16,2.22044604925031E-16,0,0,0,0,1.58151147973949,0.00862993334587531,-1.01233409878246E-08,-6.06277764344999E-09,0.00496868924130607,4.63259119495756E-19,0.00496868924130608,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_fr.STL,,truck-1/fullTire-7,Coordinate System13,Axis3,wheel_fr_steer,revolute,-0.469900000000001,-0.228599999999994,-0.101599999999998,3.14159265358979,0,0,base_link,0,0,-1,0,0,-0.65,0.65,,,,,,,,
wheel_bl,0,0,-1.11022302462516E-16,0,0,0,1.5815114797395,0.00862993334587539,-1.12249799279E-08,3.63856164147537E-09,0.00496868924130612,6.40989829761131E-19,0.00496868924130612,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_bl.STL,,truck-1/fullTire-5,Coordinate System3,Axis8,joint_bl,fixed,-0.0381000000000027,-0.736599999999999,-0.101599999999999,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
wheel_br,0,2.22044604925031E-16,1.11022302462516E-16,0,0,0,1.58151147973951,0.0086299333458755,-1.17897138918253E-08,-4.91885715325817E-10,0.00496868924130618,6.30773404540678E-19,0.00496868924130618,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_br.STL,,truck-1/fullTire-6,Coordinate System12,Axis8,joint_br,fixed,-0.469900000000003,-0.736599999999998,-0.1016,3.14159265358979,0,0,base_link,0,0,0,,,,,,,,,,,,
trailer,3.69323682747336E-10,0.571256988776015,0.117353006753824,0,0,0,154.484741148508,13.6421910845191,-2.48524307383535E-09,6.24243486154171E-09,4.71963963467751,0.00663582007885279,15.5438252225012,0,0,0,0,0,0,package://truck_urdf/meshes/trailer.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/trailer.STL,,fullTrailer-1/trailerbody-1,Coordinate System14,Axis2,hitch,revolute,-0.254000000000682,-1.06680000000062,-0.20320000000001,-3.14159265358979,0,-0.0250798506762473,base_link,0,0,-1,0,0,0,0,,,,,,,,
wheel_tfl,6.61692922676593E-13,-6.39099884125471E-13,-1.0325074129014E-14,0,0,0,1.58151147973949,0.00862993334587534,-1.17999705727189E-08,-3.15845067114783E-19,0.00496868924130609,3.89318553236211E-19,0.00496868924130609,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tfl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tfl.STL,,fullTrailer-1/fullTire-9,Coordinate System4,Axis9,joint_tfl,fixed,0.2159,0.31706871138665,-0.1016,0,0,0,trailer,0,0,0,,,,,,,,,,,,
wheel_tfr,6.61692922676593E-13,-6.39821529091478E-13,-1.04360964314765E-14,0,0,0,1.58151147973949,0.00862993334587535,-1.17999705737489E-08,-3.33340668464428E-19,0.00496868924130611,9.83723763303484E-19,0.00496868924130611,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tfr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tfr.STL,,fullTrailer-1/fullTire-11,Coordinate System11,Axis9,joint_tfr,fixed,-0.2159,0.31706871138665,-0.1016,0,0,0,trailer,0,0,0,,,,,,,,,,,,
wheel_tbl,3.37381900195055E-10,1.07145239902628E-09,2.55164778195649E-11,0,0,0,1.5815114797395,0.00862993334599988,-1.15775854502492E-08,-2.28009745911297E-09,0.00496868924129452,-1.48276701334591E-15,0.00496868924141903,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tbl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tbl.STL,,fullTrailer-1/fullTire-10,Coordinate System5,Axis10,joint_tbl,fixed,0.2159,0.82506871138665,-0.101599999999999,0,0,0,trailer,0,0,0,,,,,,,,,,,,
wheel_tbr,6.61914967281518E-13,-6.39766017940246E-13,-1.0325074129014E-14,0,0,0,1.5815114797395,0.0086299333458754,-1.17999705546805E-08,-3.811372043801E-19,0.00496868924130613,2.61199732488632E-19,0.00496868924130613,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tbr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://truck_urdf/meshes/wheel_tbr.STL,,fullTrailer-1/fullTire-12,Coordinate System10,Axis10,joint_tbr,fixed,-0.2159,0.82506871138665,-0.1016,0,0,0,trailer,0,0,0,,,,,,,,,,,,
